image_name,sample_name,year,station,sample,stage,ind,length,calanus_type
2018_F_p59_4.tif,F_p59,2018,F,p59,CV,4,2.2,NA
2018_F_p59_5.tif,F_p59,2018,F,p59,CV,5,2.61,NA
2018_F_p59_6.tif,F_p59,2018,F,p59,CV,6,2.4,NA
2018_F_p59_7.tif,F_p59,2018,F,p59,CV,7,2.64,NA
2018_F_p59_8.tif,F_p59,2018,F,p59,CV,8,2.59,NA
2018_F_p59_9.tif,F_p59,2018,F,p59,CV,9,2.43,NA
2018_F_p59_10.tif,F_p59,2018,F,p59,CV,10,2.74,NA
2018_F_p60_1.tif,F_p60,2018,F,p60,CV,1,2.4,NA
2018_F_p60_2.tif,F_p60,2018,F,p60,CV,2,2.6,NA
2018_F_p60_3.tif,F_p60,2018,F,p60,CV,3,2.57,NA
2018_F_p60_4.tif,F_p60,2018,F,p60,CV,4,2.24,NA
2018_F_p60_5.tif,F_p60,2018,F,p60,CV,5,2.67,NA
2018_F_p60_6.tif,F_p60,2018,F,p60,CV,6,2.52,NA
2018_F_p60_7.tif,F_p60,2018,F,p60,CV,7,2.38,NA
2018_F_p60_8.tif,F_p60,2018,F,p60,CV,8,2.53,NA
2018_F_p60_9.tif,F_p60,2018,F,p60,CV,9,2.5,NA
2018_F_p60_10.tif,F_p60,2018,F,p60,CV,10,2.7,NA
2018_AT_p101_1.tif,AT_p101,2018,AT,p101,CV,1,2.67,NA
2018_AT_p101_2.tif,AT_p101,2018,AT,p101,CV,2,2.41,NA
2018_AT_p101_3.tif,AT_p101,2018,AT,p101,CV,3,2.34,NA
2018_AT_p101_4.tif,AT_p101,2018,AT,p101,CV,4,2.62,NA
2018_AT_p101_5.tif,AT_p101,2018,AT,p101,CV,5,2.68,NA
2018_AT_p101_6.tif,AT_p101,2018,AT,p101,CV,6,2.55,NA
2018_AT_p101_7.tif,AT_p101,2018,AT,p101,CV,7,2.35,NA
2018_AT_p101_8.tif,AT_p101,2018,AT,p101,CV,8,2.68,NA
2018_AT_p101_9.tif,AT_p101,2018,AT,p101,CV,9,2.42,NA
2018_AT_p101_10.tif,AT_p101,2018,AT,p101,CV,10,2.45,NA
2018_AT_p102_1.tif,AT_p102,2018,AT,p102,CV,1,2.55,NA
2018_AT_p102_2.tif,AT_p102,2018,AT,p102,CV,2,2.34,NA
2018_AT_p102_3.tif,AT_p102,2018,AT,p102,CV,3,2.47,NA
2018_AT_p102_4.tif,AT_p102,2018,AT,p102,CV,4,2.42,NA
2018_AT_p102_5.tif,AT_p102,2018,AT,p102,CV,5,2.56,NA
2018_AT_p102_6.tif,AT_p102,2018,AT,p102,CV,6,2.39,NA
2018_AT_p102_7.tif,AT_p102,2018,AT,p102,CV,7,2.45,NA
2018_AT_p102_8.tif,AT_p102,2018,AT,p102,CV,8,2.61,NA
2018_AT_p102_9.tif,AT_p102,2018,AT,p102,CV,9,2.57,NA
2018_AT_p102_10.tif,AT_p102,2018,AT,p102,CV,10,2.26,NA
2018_AT_p103_1.tif,AT_p103,2018,AT,p103,CV,1,2.41,NA
2018_AT_p103_2.tif,AT_p103,2018,AT,p103,CV,2,2.36,NA
2018_AT_p103_3.tif,AT_p103,2018,AT,p103,CV,3,2.52,NA
2018_AT_p103_4.tif,AT_p103,2018,AT,p103,CV,4,2.16,NA
2018_AT_p103_5.tif,AT_p103,2018,AT,p103,CV,5,2.44,NA
2018_AT_p103_6.tif,AT_p103,2018,AT,p103,CV,6,2.53,NA
2018_AT_p103_7.tif,AT_p103,2018,AT,p103,CV,7,2.7,NA
2018_AT_p103_8.tif,AT_p103,2018,AT,p103,CV,8,2.48,NA
2018_AT_p103_9.tif,AT_p103,2018,AT,p103,CV,9,2.61,NA
2018_AT_p103_10.tif,AT_p103,2018,AT,p103,CV,10,2.61,NA
2018_AT_p104_1.tif,AT_p104,2018,AT,p104,CV,1,2.54,NA
2018_AT_p104_2.tif,AT_p104,2018,AT,p104,CV,2,2.56,NA
2018_AT_p104_3.tif,AT_p104,2018,AT,p104,CV,3,2.6,NA
2018_AT_p104_4.tif,AT_p104,2018,AT,p104,CV,4,2.48,NA
2018_AT_p104_5.tif,AT_p104,2018,AT,p104,CV,5,2.49,NA
2018_AT_p104_6.tif,AT_p104,2018,AT,p104,CV,6,2.49,NA
2018_AT_p104_7.tif,AT_p104,2018,AT,p104,CV,7,2.54,NA
2018_AT_p104_8.tif,AT_p104,2018,AT,p104,CV,8,2.53,NA
2018_AT_p104_9.tif,AT_p104,2018,AT,p104,CV,9,2.45,NA
2018_AT_p104_10.tif,AT_p104,2018,AT,p104,CV,10,2.56,NA
2018_AT_p105_1.tif,AT_p105,2018,AT,p105,CV,1,2.43,NA
2018_AT_p105_2.tif,AT_p105,2018,AT,p105,CV,2,2.57,NA
2018_AT_p105_3.tif,AT_p105,2018,AT,p105,CV,3,2.6,NA
2018_AT_p105_4.tif,AT_p105,2018,AT,p105,CV,4,2.63,NA
2018_AT_p105_5.tif,AT_p105,2018,AT,p105,CV,5,2.42,NA
2018_AT_p105_6.tif,AT_p105,2018,AT,p105,CV,6,2.64,NA
2018_AT_p105_7.tif,AT_p105,2018,AT,p105,CV,7,2.46,NA
2018_AT_p105_8.tif,AT_p105,2018,AT,p105,CV,8,2.26,NA
2018_AT_p105_9.tif,AT_p105,2018,AT,p105,CV,9,2.63,NA
2018_AT_p105_10.tif,AT_p105,2018,AT,p105,CV,10,2.54,NA
2018_AT_p116_1.tif,AT_p116,2018,AT,p116,CVIF,1,2.42,NA
2018_AT_p116_2.tif,AT_p116,2018,AT,p116,CVIF,2,2.53,NA
2018_AT_p116_3.tif,AT_p116,2018,AT,p116,CVIF,3,2.66,NA
2018_AT_p116_4.tif,AT_p116,2018,AT,p116,CVIF,4,2.5,NA
2018_AT_p116_5.tif,AT_p116,2018,AT,p116,CVIF,5,2.93,NA
2018_AT_p116_6.tif,AT_p116,2018,AT,p116,CVIF,6,2.67,NA
2018_AT_p116_7.tif,AT_p116,2018,AT,p116,CVIF,7,2.78,NA
2018_AT_p116_8.tif,AT_p116,2018,AT,p116,CVIF,8,3.07,NA
2018_AT_p116_9.tif,AT_p116,2018,AT,p116,CVIF,9,2.62,NA
2018_AT_p116_10.tif,AT_p116,2018,AT,p116,CVIF,10,2.79,NA
2018_AT_p117_1.tif,AT_p117,2018,AT,p117,CVIF,1,2.8,NA
2018_AT_p117_2.tif,AT_p117,2018,AT,p117,CVIF,2,2.46,NA
2018_AT_p117_3.tif,AT_p117,2018,AT,p117,CVIF,3,2.49,NA
2018_AT_p117_4.tif,AT_p117,2018,AT,p117,CVIF,4,2.59,NA
2018_AT_p117_5.tif,AT_p117,2018,AT,p117,CVIF,5,2.85,NA
2018_AT_p117_6.tif,AT_p117,2018,AT,p117,CVIF,6,2.46,NA
2018_AT_p117_7.tif,AT_p117,2018,AT,p117,CVIF,7,2.72,NA
2018_AT_p117_8.tif,AT_p117,2018,AT,p117,CVIF,8,2.84,NA
2018_AT_p117_9.tif,AT_p117,2018,AT,p117,CVIF,9,2.75,NA
2018_AT_p117_10.tif,AT_p117,2018,AT,p117,CVIF,10,2.68,NA
2018_AT_p118_1.tif,AT_p118,2018,AT,p118,CVIF,1,2.35,NA
2018_AT_p118_2.tif,AT_p118,2018,AT,p118,CVIF,2,2.72,NA
2018_AT_p118_3.tif,AT_p118,2018,AT,p118,CVIF,3,2.76,NA
2018_AT_p118_4.tif,AT_p118,2018,AT,p118,CVIF,4,2.92,NA
2018_AT_p118_5.tif,AT_p118,2018,AT,p118,CVIF,5,2.56,NA
2018_AT_p118_6.tif,AT_p118,2018,AT,p118,CVIF,6,2.57,NA
2018_AT_p118_7.tif,AT_p118,2018,AT,p118,CVIF,7,2.74,NA
2018_AT_p118_8.tif,AT_p118,2018,AT,p118,CVIF,8,2.66,NA
2018_AT_p118_9.tif,AT_p118,2018,AT,p118,CVIF,9,2.56,NA
2018_AT_p118_10.tif,AT_p118,2018,AT,p118,CVIF,10,2.5,NA
2018_AT_p119_1.tif,AT_p119,2018,AT,p119,CVIF,1,2.76,NA
2018_AT_p119_2.tif,AT_p119,2018,AT,p119,CVIF,2,2.46,NA
2018_AT_p119_3.tif,AT_p119,2018,AT,p119,CVIF,3,3.22,NA
2018_AT_p119_4.tif,AT_p119,2018,AT,p119,CVIF,4,2.42,NA
2018_AT_p119_5.tif,AT_p119,2018,AT,p119,CVIF,5,2.65,NA
2018_AT_p119_6.tif,AT_p119,2018,AT,p119,CVIF,6,2.74,NA
2018_AT_p119_7.tif,AT_p119,2018,AT,p119,CVIF,7,3.06,NA
2018_AT_p119_8.tif,AT_p119,2018,AT,p119,CVIF,8,2.72,NA
2018_AT_p119_9.tif,AT_p119,2018,AT,p119,CVIF,9,2.66,NA
2018_AT_p119_10.tif,AT_p119,2018,AT,p119,CVIF,10,2.85,NA
2018_AT_p120_1.tif,AT_p120,2018,AT,p120,CVIF,1,2.74,NA
2018_AT_p120_2.tif,AT_p120,2018,AT,p120,CVIF,2,2.62,NA
2018_AT_p120_3.tif,AT_p120,2018,AT,p120,CVIF,3,2.43,NA
2018_AT_p120_4.tif,AT_p120,2018,AT,p120,CVIF,4,2.65,NA
2018_AT_p120_5.tif,AT_p120,2018,AT,p120,CVIF,5,2.68,NA
2018_AT_p120_6.tif,AT_p120,2018,AT,p120,CVIF,6,2.93,NA
2018_AT_p120_7.tif,AT_p120,2018,AT,p120,CVIF,7,2.69,NA
2018_AT_p120_8.tif,AT_p120,2018,AT,p120,CVIF,8,2.52,NA
