img_name,redness_index,red_pixels_nb
2018_AT_p118_3.tif,74.14031062363463,26813
2018_AT_p118_4.tif,15.979772623356686,6102
2018_AT_p118_5.tif,3.926380156975855,1500
2018_AT_p118_6.tif,107.2905642395908,38646
2018_AT_p118_7.tif,54.30221491628393,19823
2018_AT_p118_8.tif,31.294252255537245,11718
2018_AT_p118_9.tif,196.38225263066326,67367
2018_AT_p119_1.tif,99.59148074327094,35413
2018_AT_p119_10.tif,122.21613473117827,44700
2018_AT_p119_2.tif,225.50262222709472,77492
2018_AT_p119_3.tif,34.11466808984558,12250
2018_AT_p119_4.tif,123.75673607513541,43918
2018_AT_p119_5.tif,173.08746202835172,62488
2018_AT_p119_6.tif,25.672395550095814,9641
2018_AT_p119_7.tif,57.34956393277426,21093
2018_AT_p119_8.tif,103.15194352007224,37170
2018_AT_p119_9.tif,128.15227526689247,45889
2018_AT_p120_1.tif,114.31896588960043,40993
2018_AT_p120_10.tif,47.01495580701382,17134
2018_AT_p120_2.tif,6.409278375958161,2486
2018_AT_p120_3.tif,73.72275622359574,26854
2018_AT_p120_4.tif,82.77814881145305,30347
2018_AT_p120_5.tif,68.78377818351905,25390
2018_AT_p120_6.tif,43.305996671590854,15958
2018_AT_p120_7.tif,67.75848121971885,25200
2018_AT_p120_8.tif,21.89293300901115,8150
2018_AT_p120_9.tif,55.631075274087145,20140
2018_F_p51_1.tif,266.01434799274153,90474
2018_F_p51_10.tif,431.50747124269924,135045
2018_F_p51_2.tif,271.2727431631211,85052
2018_F_p51_3.tif,455.76508042162413,136864
2018_F_p51_4.tif,335.9730538412809,114005
2018_F_p51_5.tif,288.1864381723067,88681
2018_F_p51_6.tif,368.63961392692147,122470
2018_F_p51_7.tif,445.94386999134827,137611
2018_F_p51_8.tif,174.83017562422185,60863
2018_F_p51_9.tif,275.56316985716126,85975
2018_F_p52_1.tif,337.7394604363428,111238
2018_F_p52_10.tif,342.21427921833873,104448
2018_F_p52_2.tif,371.7898303208096,118276
2018_F_p52_3.tif,416.7951100365233,133074
2018_F_p52_4.tif,517.2394655375786,163078
2018_F_p52_5.tif,394.5344595642338,126206
2018_F_p52_6.tif,454.2469097767168,139889
